step,herbivores,predators,resource_biomass,resource_fraction,mean_herbivore_energy,mean_predator_energy,mean_herbivore_speed,mean_predator_speed,herbivore_births,predator_births,herbivore_deaths,predator_deaths,kills
0,90,18,65889.53045114742,0.6375960637413898,54.0,72.0,1.7554256703346587,2.1021682503386963,0,0,0,0,0
1,89,18,67238.3789914379,0.6506485246404725,55.87990368544598,73.01282441116604,1.7550397431343834,2.1021682503386963,0,0,1,0,1
2,87,18,68596.99103019893,0.6637954644066917,57.72484377571909,74.18849385470753,1.7546911717867713,2.1021682503386963,0,0,2,0,1
3,86,18,69941.90960042845,0.6768098959948304,59.56635161728186,75.35280702196046,1.7561814128830193,2.1021682503386963,0,0,1,0,1
4,84,18,71279.60180917321,0.6897543999388304,61.48014362751792,76.46311623197246,1.7558767593205264,2.1021682503386963,0,0,2,0,1
5,81,18,72598.90931031486,0.7025209997891069,63.312712073331795,82.53535160473544,1.7573967247206135,2.1021682503386963,0,0,3,0,3
6,80,18,73906.5382334915,0.7151745890398298,65.15508726288357,83.8708790649825,1.7561456670169442,2.1021682503386963,0,0,1,0,1
7,79,18,75195.14563239529,0.7276441118854698,67.06696942739659,85.10340618242236,1.7572163998590047,2.1021682503386963,0,0,1,0,1
8,76,18,76456.6545928835,0.7398514101022652,68.95843816061088,90.57635285530009,1.7574913078633145,2.1021682503386963,0,0,3,0,3
9,72,18,77699.90238990032,0.7518819997301699,70.85965658302983,98.90636970072975,1.7577202926043607,2.1021682503386963,0,0,4,0,4
10,71,18,78924.68631253586,0.7637339191877711,72.77237312882484,99.96842106865587,1.7589839632525173,2.1021682503386963,0,0,1,0,1
11,69,18,80115.04453906798,0.7752527100257447,74.62972220557164,103.27620344205758,1.7608712778840274,2.1021682503386963,0,0,2,0,2
12,67,18,81275.09167454918,0.7864781882204281,76.70867548097874,106.61293467063636,1.7597998424971852,2.1021682503386963,0,0,2,0,2
13,67,18,82402.74241506837,0.7973901748214433,78.68060406749751,105.34801459725526,1.7597998424971852,2.1021682503386963,0,0,0,0,0
14,67,18,83489.7733279338,0.8079090937826594,80.6479136850729,104.08309452387417,1.7597998424971852,2.1021682503386963,0,0,0,0,0
15,67,18,84532.74997028772,0.8180017108826116,82.62560769354388,102.83253703108646,1.7597998424971852,2.1021682503386963,0,0,0,0,0
16,67,18,85531.75843892549,0.8276688592578763,84.60743053729811,101.58309937457894,1.7597998424971852,2.1021682503386963,0,0,0,0,0
17,67,18,86486.4708974954,0.836907366520276,86.59052416737724,100.31817930119786,1.7597998424971852,2.1021682503386963,0,0,0,0,0
18,64,18,87395.31109103539,0.8457019796553734,88.76073537956361,104.05774985758298,1.7589952822147215,2.1021682503386963,0,0,3,0,3
19,65,18,88270.33853238558,0.8541693954716727,87.43000280104613,105.37177790725427,1.7601646643035336,2.1021682503386963,2,0,1,0,1
20,64,18,89095.35561422067,0.862152873883125,87.77311847272938,108.61032194946974,1.757463243975863,2.1021682503386963,1,0,2,0,2
21,63,18,89881.64459102569,0.8697615903687559,89.59100239649526,109.80251647108861,1.75872493414296,2.1021682503386963,0,0,1,0,1
22,61,18,90625.43343992683,0.8769590440319858,91.82793962662467,112.98487377596248,1.7632067107013203,2.1021682503386963,0,0,2,0,2
23,60,18,91333.90720044627,0.8838147626549341,92.29328498593887,116.61307046915178,1.7610330563390166,2.1021682503386963,1,0,2,0,2
24,57,18,92004.50123621829,0.8903039289101665,93.40354792170598,123.24159863477911,1.7658854862049382,2.1021682503386963,1,0,4,0,4
25,57,18,92643.8999535889,0.8964912260811345,95.46469461845082,121.98957583534349,1.7658854862049382,2.1021682503386963,0,0,0,0,0
26,57,18,93241.87634265862,0.902277690019648,97.52874616851986,120.74352539257828,1.7658854862049382,2.1021682503386963,0,0,0,0,0
27,57,18,93800.57818182427,0.9076841042256378,99.59608966298647,119.51728673582534,1.7658854862049382,2.1021682503386963,0,0,0,0,0
28,56,18,94321.94819769196,0.9127292679655206,99.86357089787278,121.78973445954709,1.764859707553246,2.1021682503386963,1,0,2,0,2
29,59,18,94811.41410758349,0.9174657038658163,94.18078678761992,121.31354024313929,1.7590869426111542,2.1021682503386963,4,0,1,0,1
30,60,18,95251.36194092894,0.9217229660571228,94.46160665124036,120.0606868461619,1.7601938636379306,2.1021682503386963,1,0,0,0,0
31,61,18,95656.07959374152,0.925639314839594,93.29411945095245,119.78815089129463,1.7590611129104103,2.1021682503386963,2,0,1,0,1
32,63,18,96025.09193871768,0.9292101525283407,91.97076034249366,118.52323081791353,1.7596975406224806,2.1021682503386963,2,0,0,0,0
33,63,18,96359.4489004187,0.9324456389736898,89.99104786535186,121.4699211303923,1.7602567304259578,2.1021682503386963,2,0,2,0,2
34,63,18,96667.23390844313,0.9354239954477959,90.07179760030303,122.75287913289766,1.7577473154393064,2.1021682503386963,1,0,1,0,1
35,62,18,96951.36142820005,0.9381734244838995,91.54540438726177,121.98900965660462,1.7546302847079267,2.1021682503386963,0,0,1,0,1
36,63,18,97219.32062154249,0.9407663967778078,91.97408230481022,120.73899012525463,1.7511145335362603,2.1021682503386963,1,0,0,0,0
37,62,18,97461.41626543515,0.9431090941462364,93.89985726753471,120.40339962662807,1.750622486962263,2.1021682503386963,0,0,1,0,1
38,61,18,97689.56403030077,0.9453168214715597,95.46420563310463,121.67739417654954,1.7514355111708655,2.1021682503386963,0,0,1,0,1
39,61,18,97904.28783559869,0.9473946485878272,96.21476708249797,122.50896994757838,1.755410545014316,2.1021682503386963,1,0,1,0,1
40,59,18,98102.21448004978,0.9493099338926013,100.01990440770383,125.45506371084093,1.7532765710934548,2.1021682503386963,0,0,2,0,2
41,59,18,98293.51689818487,0.9511611182606183,99.68640999017072,126.71784873964195,1.7507373855923993,2.1021682503386963,1,0,1,0,1
42,58,18,98467.68636749111,0.9528465114830806,101.21716777886553,127.94202933905893,1.7475211518532965,2.1021682503386963,0,0,1,0,1
43,58,18,98632.88952961942,0.9544451400538024,103.04259990716326,126.69597889629374,1.7475211518532965,2.1021682503386963,0,0,0,0,0
44,58,18,98785.07772625535,0.955917826146093,104.78881526735023,125.43105882291262,1.7475211518532965,2.1021682503386963,0,0,0,0,0
45,57,18,98924.79791799354,0.957269862557151,105.64197467381122,124.87384709039276,1.750532672370742,2.1021682503386963,0,0,1,0,1
46,58,18,99057.97688439165,0.9585586012105786,102.69598348355157,124.1953971785352,1.7566871640821975,2.1021682503386963,2,0,1,0,1
47,57,18,99179.53562338423,0.9597348939078303,99.03902654594012,129.96788721702512,1.7508338989083945,2.1021682503386963,3,0,4,0,3
48,59,18,99289.46233330747,0.9607986264472368,96.88040561563318,128.7160835908263,1.7475196118102598,2.1021682503386963,2,0,0,0,0
49,59,18,99382.0900546396,0.9616949611169532,97.4415240247138,129.345275980156,1.7505810283636298,2.1021682503386963,1,0,1,0,1
50,59,18,99465.16057656732,0.9624988132226124,99.21838064368225,128.0803559067749,1.7505810283636298,2.1021682503386963,0,0,0,0,0
51,59,18,99540.52411635686,0.9632280868415078,100.99545697436642,126.84061895697967,1.7505810283636298,2.1021682503386963,0,0,0,0,0
52,59,18,99607.90422362438,0.9638801068342759,102.77692350443161,125.58859615754409,1.7505810283636298,2.1021682503386963,0,0,0,0,0
53,61,18,99670.02307543054,0.9644812150091946,100.63534256712508,124.32367608416297,1.7486616029271367,2.1021682503386963,2,0,0,0,0
54,60,18,99717.80822049998,0.9649436195853538,102.32013220488948,125.21095585911166,1.7505499343170208,2.1021682503386963,0,0,1,0,1
55,59,18,99763.12667816001,0.9653821546609724,105.10772672181653,124.3986512141911,1.752160896357167,2.1021682503386963,0,0,1,0,1
56,59,18,99808.00281510249,0.9658164095126086,106.82185743043608,123.14568572123754,1.752160896357167,2.1021682503386963,0,0,0,0,0
57,59,19,99848.09987941306,0.966204418505797,104.22470663624657,116.67088527946149,1.7590621729719333,2.1078681103187797,2,1,2,0,2
58,59,19,99882.11571657575,0.9665335810257193,104.21951337645558,117.45373013251803,1.757329820793254,2.1078681103187797,1,0,1,0,1
59,58,19,99912.52906547878,0.9668278831919814,105.68803160104136,118.30102063930448,1.7569624683054244,2.1078681103187797,0,0,1,0,1
