step,herbivores,predators,resource_biomass,resource_fraction,mean_herbivore_energy,mean_predator_energy,mean_herbivore_speed,mean_predator_speed,herbivore_births,predator_births,herbivore_deaths,predator_deaths,kills
0,90,18,69759.4570427102,0.6342699112238388,54.0,72.0,1.7370299685869548,2.0712331876248093,0,0,0,0,0
1,87,18,71333.93542094633,0.6485854507008199,54.6800453826251,78.13990071437391,1.7406902278192116,2.0712331876248093,0,0,3,0,3
2,85,18,72908.13895794409,0.6628984912545688,55.34948514396771,81.92049175525702,1.7427222801412303,2.0712331876248093,0,0,2,0,2
3,82,18,74474.76164670088,0.6771426048965464,56.03381237090638,87.91392540410374,1.745095139059313,2.0712331876248093,0,0,3,0,3
4,80,18,76029.68278194286,0.6912803251744749,56.68726177724791,91.53375947248838,1.7446495778684254,2.0712331876248093,0,0,2,0,2
5,78,18,77566.17012616819,0.7052504409513463,57.3707853309669,95.41430473634266,1.746544339457775,2.0712331876248093,0,0,2,0,2
6,75,18,79079.97537837026,0.7190143256435183,58.084787973692585,101.16252206015353,1.7476212454873026,2.0712331876248093,0,0,3,0,3
7,74,18,80571.83211739185,0.7325786491278392,58.78574633669939,102.19661657077253,1.7478895922816173,2.0712331876248093,0,0,1,0,1
8,74,18,82033.0872842295,0.7458647356921031,59.48338641091835,100.95336466731787,1.7478895922816173,2.0712331876248093,0,0,0,0,0
9,71,18,83456.78678986154,0.7588093570714494,60.23712115709359,107.22809964591775,1.748904602270683,2.0712331876248093,0,0,3,0,3
10,69,18,84847.17283845281,0.7714510844155558,60.98136407130403,110.91345876898035,1.7470345285304,2.0712331876248093,0,0,2,0,2
11,67,18,86199.68539833534,0.7837484568099624,61.741563569549115,114.41310005996363,1.7495750347261987,2.0712331876248093,0,0,2,0,2
12,66,18,87511.0692721477,0.7956718772103547,62.53179941025648,115.48831404228534,1.7470901650881139,2.0712331876248093,0,0,1,0,1
13,63,18,88783.85388920478,0.8072443438018535,63.08461462503091,118.8786596966263,1.7442434676545164,2.0712331876248093,0,0,3,0,2
14,62,18,90009.3203001772,0.8183865817814208,63.823882943930165,120.05164415650984,1.7428310365883248,2.0712331876248093,0,0,1,0,1
15,62,18,91186.86977231094,0.8290931473255686,64.57030506252893,118.79588302607843,1.7428310365883248,2.0712331876248093,0,0,0,0,0
16,61,18,92311.35458081157,0.8393172360713222,65.28704087375705,119.88980103713112,1.7421207452397405,2.0712331876248093,0,0,1,0,1
17,61,18,93385.76198604703,0.8490860089148335,66.0486127842283,118.64572883956677,1.7421207452397405,2.0712331876248093,0,0,0,0,0
18,60,18,94407.59808953699,0.8583767907259517,66.85371540540223,119.8783541011999,1.742764628396652,2.0712331876248093,0,0,1,0,1
19,60,18,95379.56008251428,0.8672141050218645,67.61378546573742,118.6225929707685,1.742764628396652,2.0712331876248093,0,0,0,0,0
20,59,19,96299.35847438347,0.8755771351985114,68.39772261801579,112.03415789858579,1.7443421769631449,2.073054428929389,0,1,1,0,1
21,57,19,97169.42179213295,0.8834879620125765,69.03944839184388,115.42987692949181,1.7473514150419054,2.073054428929389,0,0,2,0,2
22,56,19,97994.96707813843,0.8909940200793038,69.81518519814874,116.44849909257643,1.7484975919281054,2.073054428929389,0,0,1,0,1
23,53,19,98777.30993707658,0.8981072711956578,70.66522466557988,118.6555168428063,1.7456915398562323,2.073054428929389,0,0,3,0,2
24,52,19,99514.48617727164,0.9048098564542927,71.41452402736802,119.79625596310238,1.7430623600471735,2.073054428929389,0,0,1,0,1
25,51,19,100207.27008205486,0.9111088158271434,71.89917417616685,120.88519390733678,1.7456357713832573,2.073054428929389,0,0,1,0,1
26,51,19,100856.9984266976,0.9170163035993583,72.6560743898243,119.6411730238284,1.7456357713832573,2.073054428929389,0,0,0,0,0
27,50,19,101462.38214278364,0.9225205992480925,73.46272451531456,120.87042458754436,1.748381832754103,2.073054428929389,0,0,1,0,1
28,47,19,102028.37947358913,0.9276667843243773,74.1237053591857,126.15981025579262,1.7459181186926953,2.073054428929389,0,0,3,0,3
29,46,19,102562.51193193629,0.9325232462479586,74.73525964035005,127.17334347037762,1.7408238977977524,2.073054428929389,0,0,1,0,1
30,45,19,103060.50015891285,0.937051076049179,75.75292787066893,128.2630235287104,1.7458070083074235,2.073054428929389,0,0,1,0,1
31,45,19,103523.84793942957,0.9412639465053548,76.50811726766553,127.03380904092441,1.7458070083074235,2.073054428929389,0,0,0,0,0
32,44,19,103951.35541175248,0.945150948182443,77.33467834912473,128.0891139311839,1.7451274467120081,2.073054428929389,0,0,1,0,1
33,44,19,104348.59306415016,0.9487627293115133,78.10093018041998,126.84534809942754,1.7451274467120081,2.073054428929389,0,0,0,0,0
34,44,19,104714.65660971816,0.9520910678965964,78.8606047673769,125.61473217282291,1.7451274467120081,2.073054428929389,0,0,0,0,0
35,43,19,105051.80508554087,0.9551565036510403,79.82516819652339,126.00600369958791,1.746749393993009,2.073054428929389,0,0,1,0,1
36,41,18,105365.02985649166,0.9580044192754757,80.77965277708469,126.1780067509169,1.7485798892968971,2.0839418386178417,0,0,2,1,2
37,40,18,105661.38613565985,0.9606989624793248,81.02400592901252,124.934953757477,1.7514649500979211,2.0839418386178417,0,0,1,0,0
38,40,18,105932.03233081166,0.9631597433605021,81.77071135591726,123.69230793575669,1.7514649500979211,2.0839418386178417,0,0,0,0,0
39,39,18,106179.74946437536,0.9654120476497667,82.2112391345861,123.53026242455763,1.752036085099191,2.0839418386178417,0,0,1,0,1
40,38,18,106409.47708915467,0.9675007869598394,82.92296406415956,123.97116291383021,1.7498319812563292,2.0839418386178417,0,0,1,0,1
41,38,18,106623.34533545886,0.9694453289523883,83.65449416779546,122.74308206103514,1.7498319812563292,2.0839418386178417,0,0,0,0,0
42,38,18,106818.75846140638,0.9712220725123449,84.38282930360812,121.50043623931485,1.7498319812563292,2.0839418386178417,0,0,0,0,0
43,37,18,106996.50437169956,0.9728381814604554,84.80037440833543,122.62319814527206,1.7509823929083064,2.0839418386178417,0,0,1,0,1
44,36,18,107161.7063489759,0.974340237925673,85.43224768297546,123.53993500247455,1.7536041873776256,2.0839418386178417,0,0,1,0,1
45,36,18,107315.58150767346,0.9757393082078126,86.15122126640776,122.3110718915237,1.7536041873776256,2.0839418386178417,0,0,0,0,0
46,36,18,107455.43662291828,0.977010904852784,86.87246251591063,121.10518028285443,1.7536041873776256,2.0839418386178417,0,0,0,0,0
47,36,18,107582.63728581517,0.9781674441462855,87.59402439855846,119.84777094592017,1.7536041873776256,2.0839418386178417,0,0,0,0,0
48,36,18,107698.18202420107,0.9792180049457129,88.31668421031401,118.60533374963062,1.7536041873776256,2.0839418386178417,0,0,0,0,0
49,35,18,107802.96776023386,0.9801707422849721,89.43758222392741,119.82444436616525,1.7514541009089533,2.0839418386178417,0,0,1,0,1
50,35,18,107900.93049406902,0.9810614432325845,90.16592186161208,118.62395829832505,1.7514541009089533,2.0839418386178417,0,0,0,0,0
51,34,18,107989.59414972726,0.9818675947049031,90.56245600654809,119.75587143637414,1.7515683814470666,2.0839418386178417,0,0,1,0,1
52,34,18,108073.11402516352,0.9826269776792568,91.28043504808534,118.53588573429514,1.7515683814470666,2.0839418386178417,0,0,0,0,0
53,34,18,108148.71874831128,0.9833143941683168,91.99633987776747,117.27847639736085,1.7515683814470666,2.0839418386178417,0,0,0,0,0
54,33,18,108216.79654335367,0.9839333740005626,92.9572463267587,118.3406448958919,1.7511311860811463,2.0839418386178417,0,0,1,0,1
55,33,18,108281.03532459009,0.9845174485877114,89.6627577295449,119.27166875784575,1.7443701096982773,2.0839418386178417,1,0,1,0,1
