step,herbivores,predators,resource_biomass,resource_fraction,mean_herbivore_energy,mean_predator_energy,mean_herbivore_speed,mean_predator_speed,herbivore_births,predator_births,herbivore_deaths,predator_deaths,kills
35,43,18,105755.48927638645,0.9550228902633671,82.70283079561545,137.53183904920263,1.7572634860500336,2.0960013181704156,0,0,0,0,0
36,43,18,106068.4380521696,0.9578489681000618,83.54237175710816,136.3195299515609,1.7572634860500336,2.0960013181704156,0,0,0,0,0
37,43,18,106356.05428060975,0.960446280860383,84.37858747223076,135.10681108314532,1.7572634860500336,2.0960013181704156,0,0,0,0,0
38,43,18,106619.45169928155,0.9628248861298497,85.20932160424157,133.87846236686332,1.7572634860500336,2.0960013181704156,0,0,0,0,0
39,43,18,106860.1404221915,0.9649984209636447,86.04190532357757,132.67473388629963,1.7572634860500336,2.0960013181704156,0,0,0,0,0
40,42,18,107080.13112770452,0.9669850427536593,86.53586911453974,132.8161386407748,1.7553210572610134,2.0960013181704156,0,0,1,0,1
41,42,18,107283.655319822,0.9688229640145272,87.36633642664508,131.58727843633062,1.7553210572610134,2.0960013181704156,0,0,0,0,0
42,42,18,107469.63714235988,0.9705024692478903,88.19407666658793,130.37012502744457,1.7553210572610134,2.0960013181704156,0,0,0,0,0
43,42,18,107639.29988184944,0.9720346053189917,89.02625848352511,129.1433832296644,1.7553210572610134,2.0960013181704156,0,0,0,0,0
44,42,18,107794.14662354736,0.973432945810025,89.85594313843119,127.91466220334853,1.7553210572610134,2.0960013181704156,0,0,0,0,0
45,39,18,107935.53747793427,0.9747097731722482,91.03729674384657,133.02674532327566,1.7661456368998727,2.0960013181704156,0,0,3,0,3
46,39,18,108072.56921691657,0.9759472356275414,91.86300243297099,131.7866342043043,1.7661456368998727,2.0960013181704156,0,0,0,0,0
47,39,18,108197.57596699464,0.9770761066542735,92.68905226080263,130.546523085333,1.7661456368998727,2.0960013181704156,0,0,0,0,0
48,38,18,108311.7463141359,0.9781071197549198,92.84660938153557,131.6456075158217,1.766785202412703,2.0960013181704156,0,0,1,0,1
49,38,18,108419.07548447259,0.9790763537414094,93.63989304373908,130.4559361407716,1.766785202412703,2.0960013181704156,0,0,0,0,0
50,38,18,108516.89378546708,0.9799597000071741,94.42654576862033,129.23205614110907,1.766785202412703,2.0960013181704156,0,0,0,0,0
51,37,18,108605.99392124344,0.9807643170513978,95.59304684286904,130.2030165064212,1.7698112427371817,2.0960013181704156,0,0,1,0,1
52,37,18,108688.62146661476,0.9815104834937812,96.38849942033784,128.96290538744987,1.7698112427371817,2.0960013181704156,0,0,0,0,0
53,36,18,108763.63103452601,0.9821878559387879,97.88413013867368,130.11089905485352,1.7682471600040328,2.0960013181704156,0,0,1,0,1
54,36,18,108834.70609303087,0.9828296978730778,98.6852590703108,128.8707879358822,1.7682471600040328,2.0960013181704156,0,0,0,0,0
55,33,18,108899.16323072481,0.9834117768021223,99.78077402599446,133.49988016032808,1.7713434765210303,2.0960013181704156,0,0,3,0,3
56,32,18,108965.83747422864,0.9840138772620874,100.54131484832365,134.54362313062404,1.775722631685545,2.0960013181704156,0,0,1,0,1
57,31,18,109028.87199662256,0.9845831092913175,101.49286228096108,135.52812710569353,1.7740941430205242,2.0960013181704156,0,0,1,0,1
58,30,18,109088.93127554066,0.9851254734421712,101.87972568081832,136.77013927237005,1.771795383016311,2.0960013181704156,0,0,1,0,1
