step,herbivores,predators,resource_biomass,resource_fraction,mean_herbivore_energy,mean_predator_energy,mean_herbivore_speed,mean_predator_speed,herbivore_births,predator_births,herbivore_deaths,predator_deaths,kills
0,90,18,65889.53045114742,0.6375960637413898,54.0,72.0,1.7554256703346587,2.1021682503386963,0,0,0,0,0
1,89,18,67347.40088626198,0.6517035015165484,54.71654701343462,73.01282441116604,1.7550397431343834,2.1021682503386963,0,0,1,0,1
2,87,18,68812.74084327335,0.6658832199367024,55.39007250345678,73.99319598696758,1.7560861904062859,2.1021682503386963,0,0,2,0,1
3,87,18,70257.85597675154,0.6798672279338752,56.084072238411245,72.74117318753197,1.7560861904062859,2.1021682503386963,0,0,0,0,0
4,84,18,71690.11023351332,0.6937267845301274,56.802210843620436,76.28581139777356,1.756084353429225,2.1021682503386963,0,0,3,0,2
5,81,18,73102.39530489601,0.70739310444816,57.50734162632603,82.5519883780604,1.7594273772159905,2.1021682503386963,0,0,3,0,3
6,80,18,74496.31527473516,0.720881709995272,58.23346511063748,83.84998385267698,1.7605762104103497,2.1021682503386963,0,0,1,0,1
7,79,18,75864.33647954764,0.7341196998448112,58.95162490397018,84.99637606942576,1.7600477023609788,2.1021682503386963,0,0,1,0,1
8,77,18,77202.94474221682,0.7470730682073673,59.64092199686917,88.76389540333432,1.7590468126307301,2.1021682503386963,0,0,2,0,2
9,76,18,78513.69132968009,0.759756826294681,60.35912725211622,89.66724391741334,1.7602448012629073,2.1021682503386963,0,0,1,0,1
10,76,18,79789.82250339173,0.7721056199134105,61.090961413246056,88.44551011019581,1.7602448012629073,2.1021682503386963,0,0,0,0,0
11,74,17,81030.79390089845,0.7841141814079046,61.884550748033654,93.76734166920714,1.7590072335825395,2.1066542465617313,0,0,2,1,2
12,73,17,82230.43380666542,0.7957227886720164,62.64696906926407,95.14284907565238,1.7603167141977272,2.1066542465617313,0,0,1,0,1
13,73,17,83390.71331693511,0.8069505154978472,63.39255431531407,93.88677711389113,1.7603167141977272,2.1066542465617313,0,0,0,0,0
14,73,17,84506.4308414238,0.8177470274321479,64.13304116430713,92.63662662129384,1.7603167141977272,2.1066542465617313,0,0,0,0,0
15,73,17,85574.8313874861,0.8280856651186548,64.88264857219146,91.38298561690993,1.7603167141977272,2.1066542465617313,0,0,0,0,0
16,72,17,86595.30832024396,0.8379605583074552,65.73637907723305,92.70147392613856,1.7587051242929248,2.1066542465617313,0,0,1,0,1
17,71,17,87570.07751219696,0.8473931494276243,66.48398863732841,93.84435493770567,1.7594993063364177,2.1066542465617313,0,0,1,0,1
18,71,17,88499.83262578482,0.8563901508724377,67.27233975680507,92.5755064950464,1.7594993063364177,2.1066542465617313,0,0,0,0,0
19,68,17,89381.7488160886,0.8649242273431208,68.14713619447666,96.3952726363814,1.766426740962883,2.1066542465617313,0,0,3,0,3
20,68,17,90223.79621620076,0.8730725037706368,68.95193916709465,95.12642419372212,1.766426740962883,2.1066542465617313,0,0,0,0,0
21,67,17,91018.16604597226,0.8807594165950157,69.78045912294004,96.39477032011754,1.7635688721818952,2.1066542465617313,0,0,1,0,1
22,66,17,91768.641284435,0.888021572732765,70.66580439501303,97.65059666616014,1.7649729031447112,2.1066542465617313,0,0,1,0,1
23,66,17,92476.19206901306,0.894868359954577,71.49768286571042,96.39563622639969,1.7649729031447112,2.1066542465617313,0,0,0,0,0
24,65,17,93139.89149425701,0.9012908088344748,72.28159453722992,97.55732047634353,1.7621108982579397,2.1066542465617313,0,0,1,0,1
25,65,17,93764.18795695111,0.9073319653656563,73.11909891699185,96.28847203368429,1.7621108982579397,2.1066542465617313,0,0,0,0,0
26,64,17,94347.15405353639,0.9129731785588971,74.09049086160702,95.53835024621772,1.7631029190237115,2.1066542465617313,0,0,1,0,1
27,64,17,94893.18993823424,0.9182570275765043,74.94099499781724,94.28948141244588,1.7631029190237115,2.1066542465617313,0,0,0,0,0
28,64,17,95401.24376477157,0.9231733339722393,75.80177664324603,93.03329832368446,1.7631029190237115,2.1066542465617313,0,0,0,0,0
29,63,17,95873.2299514623,0.9277406230804451,76.83698283162165,94.502087872128,1.764802081589432,2.1066542465617313,0,0,1,0,1
30,62,17,96312.86663236891,0.9319948743295144,77.88968464138503,95.94722361692855,1.7645312712643102,2.1066542465617313,0,0,1,0,1
31,61,17,96723.33887478424,0.935966908797618,78.61605801660052,96.50159911650937,1.7678777047843537,2.1066542465617313,0,0,1,0,1
32,61,17,97105.56850894302,0.9396656467991832,79.48705904989487,95.23275067385009,1.7678777047843537,2.1066542465617313,0,0,0,0,0
33,60,17,97458.85016440002,0.9430842626455722,80.52621668375001,96.63703969626643,1.7652004081663517,2.1066542465617313,0,0,1,0,1
34,59,17,97788.36884666275,0.9462729303034142,81.53634401767357,97.72951055628592,1.7656404240307797,2.1066542465617313,0,0,1,0,1
35,59,17,98095.33378449903,0.9492433511689286,82.4017616937901,96.46066211362664,1.7656404240307797,2.1066542465617313,0,0,0,0,0
36,58,17,98378.66166153667,0.9519850422678102,83.43910579680738,97.58250958493001,1.7652658230633127,2.1066542465617313,0,0,1,0,1
37,57,17,98642.34365958144,0.9545366252413369,84.55129361826758,98.60252529562254,1.7649788827464572,2.1066542465617313,0,0,1,0,1
38,57,17,98887.1351443187,0.9569054095692447,85.40623431378077,97.34733279008206,1.7649788827464572,2.1066542465617313,0,0,0,0,0
39,57,17,99111.62013081314,0.9590776931289829,86.26291684460891,96.09846395631021,1.7649788827464572,2.1066542465617313,0,0,0,0,0
40,57,17,99317.86482260446,0.9610734700415411,87.10959092827198,94.87303341141376,1.7649788827464572,2.1066542465617313,0,0,0,0,0
41,56,17,99506.15364818534,0.9628954926483931,87.95365114593207,96.0002505473628,1.7620877630600247,2.1066542465617313,0,0,1,0,1
42,55,17,99681.37633941617,0.9645910776289203,88.74320670894906,97.39085072351779,1.7634996131051408,2.1066542465617313,0,0,1,0,1
43,54,17,99845.2343282054,0.9661766893027212,89.5916981219931,97.97676666995392,1.7669743377485898,2.1066542465617313,0,0,1,0,1
44,53,17,99997.4773097528,0.9676499055345296,90.55008171891531,99.05202654577752,1.767592678102903,2.1066542465617313,0,0,1,0,1
45,53,17,100139.32091412866,0.9690224896643255,91.38185411493991,97.79655804803498,1.767592678102903,2.1066542465617313,0,0,0,0,0
46,52,17,100269.46965593782,0.9702819056126595,92.1249415332841,98.96619761432545,1.7683093706717807,2.1066542465617313,0,0,1,0,1
47,52,17,100391.72772808632,0.971464965577251,92.93626740641405,97.69734917166618,1.7683093706717807,2.1066542465617313,0,0,0,0,0
48,52,17,100503.03514275025,0.9725420588418262,93.75009997676155,96.49726028149558,1.7683093706717807,2.1066542465617313,0,0,0,0,0
49,51,17,100605.34376938602,0.9735320731458152,94.64316716699474,97.41192982249993,1.7672466008277719,2.1066542465617313,0,0,1,0,1
50,50,17,100700.31758947243,0.9744511104106274,95.3809509522377,98.8025299986549,1.766731714860339,2.1066542465617313,0,0,1,0,1
51,50,17,100789.29836745991,0.9753121545462435,96.17746475061882,97.58209600042753,1.766731714860339,2.1066542465617313,0,0,0,0,0
52,47,17,100872.15045942251,0.9761138929612299,97.6767747131624,101.50390136290986,1.7775270115316082,2.1066542465617313,0,0,3,0,2
53,49,17,100953.50193372843,0.9769011102845567,93.3947978474722,100.28290532131123,1.7746475585063055,2.1066542465617313,2,0,0,0,0
54,48,16,101023.31497283913,0.9775766731339203,94.3719416364192,106.96744572979574,1.779992952741229,2.1240587279775647,0,0,1,1,1
55,48,16,101087.22784088715,0.9781951415432536,95.17989683792796,105.72346516382343,1.779992952741229,2.1240587279775647,0,0,0,0,0
56,48,16,101145.19819720014,0.9787561057927446,95.98314832481623,104.44656358489851,1.779992952741229,2.1240587279775647,0,0,0,0,0
57,48,16,101197.41737134586,0.9792614173294815,96.78921707854244,103.18642511575862,1.779992952741229,2.1240587279775647,0,0,0,0,0
58,47,16,101244.8838731703,0.979720738476796,97.42367917180688,103.17225095610945,1.7819126596467003,2.1240587279775647,0,0,1,0,1
59,47,16,101290.64246926561,0.9801635326590119,98.21443967675496,101.90812518800918,1.7819126596467003,2.1240587279775647,0,0,0,0,0
60,48,16,101332.28626589943,0.9805665089836444,96.39346512359259,100.64467251206524,1.7812530690739965,2.1240587279775647,1,0,0,0,0
61,47,15,101365.64136572434,0.9808892777180466,97.24117570557614,106.31683599407067,1.7812867224654132,2.134091565163609,0,0,1,1,1
62,47,15,101398.58152210715,0.9812080311513295,98.03662474556185,105.05155936183449,1.7812867224654132,2.134091565163609,0,0,0,0,0
63,48,15,101428.50532870454,0.9814975961424293,96.22505216214988,103.76904763288623,1.7794594000963129,2.134091565163609,1,0,0,0,0
64,49,15,101452.14842328067,0.981726384296377,94.49715885255465,102.48653590393792,1.780780482991933,2.134091565163609,1,0,0,0,0
65,48,15,101470.66476837682,0.9819055622123123,94.79327072417625,101.56593289617632,1.7809546575359212,2.134091565163609,0,0,1,0,1
66,47,15,101490.48432367883,0.9820973509587054,94.48678517420409,103.34916434727998,1.7807416914139291,2.134091565163609,0,0,1,0,1
67,47,15,101510.49956110027,0.9822910332707113,95.24774488558054,102.11820008971596,1.7807416914139291,2.134091565163609,0,0,0,0,0
68,48,15,101528.19656115807,0.9824622825951431,93.45974828636558,100.88592932564394,1.7823524369904664,2.134091565163609,1,0,0,0,0
